,A,B,C,D,E,F,G,H,I,J
0,94.20219416006952,40.3316311196432,93.07331009076877,84.23779065662033,49.90115896717552,48.7430702670537,57.14131529340016,73.04713905008074,47.03356721266184,86.12750068015374
1,77.8356529975285,38.494928842746965,72.02862682316652,52.61026604705964,46.38037328374731,97.46395357202408,54.578261000443106,11.937252449148005,77.55388050799753,98.94754909170518
2,5.9353195757560595,93.89234173753717,86.93348474350195,93.65184099874641,63.518935415255505,67.76723082251075,66.79252492016956,38.34108925701839,47.753635276764484,79.78142392671195
3,98.36705797132537,63.11251834073898,63.71128288857335,36.8863244698965,22.064803155166736,51.36808675316805,25.23807336576467,45.83249806909012,89.64700691485166,69.31196927698558
4,93.79437899880537,89.48997403615037,40.20910090157223,72.17298020646157,36.73167548751456,45.87111411768575,51.24707029763508,2.276884220188269,59.7032324314419,13.980750707936796
5,91.30773118398821,93.28718950146163,67.66793300404512,46.97996882870522,45.922834724777374,30.660705990807934,39.04342323120037,74.53973456731052,19.478153381125107,15.616737653214873
6,26.25655189339573,45.86520730973005,87.4023746043497,48.68691893645328,66.23945326896688,77.03615796543264,12.075716183071815,66.95578059278967,7.092623640025286,42.38730763536714
7,40.299383802034505,31.014694392392883,58.41768794759214,36.349033233595094,35.603985811943716,92.57111238163395,7.169444552190452,60.42471494523669,98.0326707088187,63.26241376577416
8,22.66156910439858,94.69638660842526,55.981531979222886,30.145102448460914,14.513444236371242,47.35383202340792,52.76706714852884,55.538464872066974,37.819430470062066,64.39598842026317
9,46.84318970556899,11.679490982252139,26.9520739293688,85.90386371660462,12.331082727700037,20.671354154889688,46.32673360196817,94.70549988949605,60.090115630146066,79.06034590326824
10,22.673688019144333,93.92411071652376,74.32065825155625,18.764048182307537,40.673826138313494,29.288075291121928,13.10163162078789,19.500861256782333,56.18468304342624,22.38156851944837
11,82.27952082020934,47.70496551702368,83.85486501359183,52.13246571594436,84.51458370756639,29.09666157634414,39.05569740881586,8.383795333088761,22.594681662830208,7.448844834401247
12,54.20700992386163,68.33984552113164,43.43161834206413,17.165630005538013,99.44749832553836,13.108583261835182,96.8927428954737,88.40294209894923,52.876450930807394,32.41063241612555
13,9.282970267972813,74.4880427455006,90.45630435403022,31.91662076990219,13.079845175083626,12.912052836571174,56.2676495886939,65.16467207157645,29.047558710224585,31.25334618501181
14,44.32113409774047,92.333314730886,7.94672158911065,22.464100865754443,29.542212806780643,52.342914168145626,74.33807593129109,45.373900181927375,34.1112661953767,83.50228309279315
15,52.42575814711786,65.88773688466894,52.614241386291326,87.36464047722151,85.09279707357035,48.53724526351576,12.923078241976016,80.19051149747962,96.04183667367171,35.26163957611686
16,63.610347873555654,63.84719294325858,81.79750694606159,73.77614997233455,20.209311167612388,85.84575722188133,45.559357190629726,22.450659085151102,5.319535828448374,57.73294518088286
17,92.79304918686603,0.5638791091293616,18.27349841403163,37.28549382824742,63.58478364746431,69.25782329849072,21.04815500297842,58.14415570457213,68.85045991173946,65.15144798718416
18,2.666652313618978,96.95052541198606,24.277340445108088,1.2308268490521912,60.9015124687953,94.60705442816307,58.676423862940574,87.12370588987135,31.353268611483898,86.92610854965105
19,19.966192439950447,95.02453695391294,77.34686786890613,67.648220054434,38.496882501868214,34.662880018833775,61.28003862487799,15.879953129369174,25.341397967074673,71.5556431100784
